#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
SARS_CoV_2_ORF1a	7207.1650	13218	0.3773	100.0000	13218	214390	215095	0.3880	6521	4378.73
SARS_CoV_2_ORF1b	5886.7324	7785	0.3699	100.0000	7785	104471	105388	0.3780	5485	3213.19
SARS_CoV_2_S	3635.1766	3822	0.3731	100.0000	3822	31833	31924	0.3853	2862	2553.90
SARS_CoV_2_ORF3a	3420.8128	828	0.3949	100.0000	828	7318	7341	0.4032	3345	895.13
SARS_CoV_2_E	1874.4430	228	0.3816	100.0000	228	1399	1468	0.3865	1839	333.60
SARS_CoV_2_M	4409.5217	669	0.4260	100.0000	669	7305	7361	0.4377	4934	1877.57
SARS_CoV_2_ORF6	530.9946	186	0.2796	100.0000	186	375	381	0.3264	549	88.46
SARS_CoV_2_ORF7a	4948.4262	366	0.3825	100.0000	366	5825	4551	0.3704	5797	1812.91
SARS_CoV_2_ORF8	6747.6913	366	0.3579	100.0000	366	7032	8113	0.3652	6714	745.12
SARS_CoV_2_N	11164.5516	1260	0.4722	100.0000	1260	34805	34958	0.4619	11191	3127.74
SARS_CoV_2_ORF10	9065.2735	117	0.3419	100.0000	117	5119	5458	0.4063	9273	1073.16
