file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
temp_vcf4_vero3.vcf	E	0	0	0	0	164.166666666667	60.8333333333334	0	0	0	0	*	*	*
temp_vcf4_vero3.vcf	M	0	0	0	0	502.333333333334	163.666666666667	0	0	0	0	*	*	*
temp_vcf4_vero3.vcf	N	0	0	0	0	959.166666666664	297.833333333333	0	0	0	0	*	*	*
temp_vcf4_vero3.vcf	ORF10	0	0	0	0	87.6666666666667	26.3333333333333	0	0	0	0	*	*	*
temp_vcf4_vero3.vcf	ORF1a	0.918120146450071	0.379034897658237	0.23045708320211	0.567249155375714	10147.0059625422	3067.99403745783	9.04818771014153e-05	0.000123544861245007	2.27118308644782e-05	0.000184892522100774	0.0589059762746487	0.0799971709728097	0.0378147815764878
temp_vcf4_vero3.vcf	ORF1b	0	0	0	0	5997.50000000004	1784.49999999998	0	0	0	0	*	*	*
temp_vcf4_vero3.vcf	ORF3a	0	0	0	0	628.333333333333	196.666666666667	0	0	0	0	*	*	*
temp_vcf4_vero3.vcf	ORF6	0	0	0	0	146	37	0	0	0	0	*	*	*
temp_vcf4_vero3.vcf	ORF7a	0	0	0	0	274.333333333333	88.6666666666667	0	0	0	0	*	*	*
temp_vcf4_vero3.vcf	ORF8	0	0	0	0	280.5	82.5	0	0	0	0	*	*	*
temp_vcf4_vero3.vcf	S	0	0	0	0	2926.66666666666	892.333333333337	0	0	0	0	*	*	*
