#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
SARS_CoV_2_ORF1a	298.0433	13218	0.3773	100.0000	13218	9414	9601	0.3984	284	218.40
SARS_CoV_2_ORF1b	194.7094	7785	0.3699	100.0000	7785	3770	3883	0.3884	153	121.21
SARS_CoV_2_S	77.8637	3822	0.3731	100.0000	3822	780	806	0.4026	65	45.06
SARS_CoV_2_ORF3a	86.9879	828	0.3949	100.0000	828	208	208	0.4195	92	43.14
SARS_CoV_2_E	55.2719	228	0.3816	100.0000	228	45	51	0.4153	60	16.00
SARS_CoV_2_M	173.2242	669	0.4260	100.0000	669	341	349	0.4557	182	100.72
SARS_CoV_2_ORF6	8.5699	186	0.2796	100.0000	186	8	9	0.3749	8	2.91
SARS_CoV_2_ORF7a	133.0137	366	0.3825	100.0000	366	155	127	0.3761	155	47.31
SARS_CoV_2_ORF8	192.3005	366	0.3579	100.0000	366	229	253	0.3770	185	44.45
SARS_CoV_2_N	502.8341	1260	0.4722	100.0000	1260	1916	1958	0.4623	498	233.26
SARS_CoV_2_ORF10	499.0427	117	0.3419	100.0000	117	371	383	0.4107	553	113.05
