file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
temp_vcf4_vero2.vcf	E	0	0	0	0	164.166666666667	60.8333333333334	0	0	0	0	*	*	*
temp_vcf4_vero2.vcf	M	0	0	0	0	502.333333333334	163.666666666667	0	0	0	0	*	*	*
temp_vcf4_vero2.vcf	N	0	0	0	0	959.166666666664	297.833333333333	0	0	0	0	*	*	*
temp_vcf4_vero2.vcf	ORF10	0	0	0	0	87.6666666666667	26.3333333333333	0	0	0	0	*	*	*
temp_vcf4_vero2.vcf	ORF1a	0.57409623702925	0.168707203186975	0.0855170180627074	0.330723261076334	10149.6344607712	3065.32584168633	5.65632426712667e-05	5.50372821357759e-05	8.42562541471173e-06	0.000107891714668217	0.053033439903966	0.0673961937917813	0.033883101386879
temp_vcf4_vero2.vcf	ORF1b	0	0	0	0	5997.50000000004	1784.49999999998	0	0	0	0	*	*	*
temp_vcf4_vero2.vcf	ORF3a	0	0	0	0	628.333333333333	196.666666666667	0	0	0	0	*	*	*
temp_vcf4_vero2.vcf	ORF6	0	0	0	0	146	37	0	0	0	0	*	*	*
temp_vcf4_vero2.vcf	ORF7a	0	0	0	0	274.333333333333	88.6666666666667	0	0	0	0	*	*	*
temp_vcf4_vero2.vcf	ORF8	0	0	0	0	280.5	82.5	0	0	0	0	*	*	*
temp_vcf4_vero2.vcf	S	0	0	0	0	2926.66666666666	892.333333333337	0	0	0	0	*	*	*
