#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
SARS_CoV_2_ORF1a	8860.6206	13218	0.3773	100.0000	13218	262323	262667	0.3918	8014	6569.94
SARS_CoV_2_ORF1b	6747.8086	7785	0.3699	100.0000	7785	119944	120285	0.3816	6570	4741.99
SARS_CoV_2_S	4470.3891	3822	0.3731	100.0000	3822	38728	38775	0.3895	3238	3781.66
SARS_CoV_2_ORF3a	3595.6908	828	0.3949	100.0000	828	7666	7647	0.4060	3865	1378.04
SARS_CoV_2_E	1943.9342	228	0.3816	100.0000	228	1426	1501	0.3926	1972	481.13
SARS_CoV_2_M	5123.9552	669	0.4260	100.0000	669	8314	8335	0.4499	5658	3048.03
SARS_CoV_2_ORF6	254.3871	186	0.2796	100.0000	186	187	178	0.3281	252	29.30
SARS_CoV_2_ORF7a	7464.2814	366	0.3825	100.0000	366	7771	6903	0.3768	8577	2807.05
SARS_CoV_2_ORF8	6767.2404	366	0.3579	100.0000	366	7432	8149	0.3647	6732	713.57
SARS_CoV_2_N	15219.1008	1260	0.4722	100.0000	1260	46351	46594	0.4661	15171	3862.17
SARS_CoV_2_ORF10	4360.7778	117	0.3419	100.0000	117	2452	2581	0.4057	4378	484.97
